RSPF_ACADEMIC_YEAR	RSPF_DIST_NUMBER	RSPF_DISTRICT_NAME	RSPF_SCHOOL_NUMBER	RSPF_SCHOOL_NAME	RSPF_EMH_CODE	RSPF_INCLUDED_EMH_FOR_A																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	187	MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS	H	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	187	MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS	A	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	187	MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS	M	MH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	212	MAPLETON EARLY COLLEGE HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	212	MAPLETON EARLY COLLEGE HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	263	GLOBAL LEADERSHIP ACADEMY	E	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	263	GLOBAL LEADERSHIP ACADEMY	A	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	263	GLOBAL LEADERSHIP ACADEMY	M	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	263	GLOBAL LEADERSHIP ACADEMY	H	EMH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	309	ACADEMY HIGH SCHOOL	A	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	309	ACADEMY HIGH SCHOOL	H	H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2012	10	MAPLETON 1	501	MONTEREY COMMUNITY SCHOOL	M	EM																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
